@relation InstanceResultListener

@attribute Key_Dataset {Dataset_IMPL_1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.functions.SimpleLinearRegression,weka.classifiers.functions.SMOreg}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8','','-C 1.0 -N 0 -I \"weka.classifiers.functions.supportVector.RegSMOImproved -T 0.001 -V -P 1.0E-12 -L 0.001 -W 1\" -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"'}
@attribute Key_Scheme_version_ID {-3364580862046573747,1679336022895414137,-7149606251113102827}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKernelEvaluations numeric
@attribute measureCacheHits numeric

@data
Dataset_IMPL_1,2,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.132049,0.134377,43.459123,43.638489,1,0,0,?,?,?,?,?,?,0.064,0,0,0,0,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,2,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.154844,0.205533,98.193598,124.242152,1,0,0,?,?,?,?,?,?,0.063,0,0,0,0,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,2,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.346683,0.346683,151.673703,151.673703,0,0,0,?,?,?,?,?,?,0.07,0,0.015625,0,15.625,0,4368,1504,919,?,?,?,?,?
Dataset_IMPL_1,2,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.01158,0.01158,12.471003,12.471003,0,0,0,?,?,?,?,?,?,0.065,0,0.015625,0,15.625,0,4368,1504,919,?,?,?,?,?
Dataset_IMPL_1,2,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.152344,0.152344,49.600291,49.600291,0,0,0,?,?,?,?,?,?,0.063,0,0,0,0,0,4368,1504,919,?,?,?,?,?
Dataset_IMPL_1,2,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.050698,0.050698,354.883721,354.883721,0,0,0,?,?,?,?,?,?,0.068,0,0,0,0,0,4368,1504,919,?,?,?,?,?
Dataset_IMPL_1,2,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.056977,0.056977,61.359571,61.359571,0,0,0,?,?,?,?,?,?,0.072,0,0.015625,0,15.625,0,4368,1504,919,?,?,?,?,?
Dataset_IMPL_1,3,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.034162,0.038583,68.324607,58.906862,1,0,0,?,?,?,?,?,?,0.067,0,0,0,0,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,3,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.20896,0.250499,84.889812,101.76509,0,0,0,?,?,?,?,?,?,0.073,0,0,0,0,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,3,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.212734,0.224674,98.769531,94.612601,1,0,0,?,?,?,?,?,?,0.064,0,0,0,0,0,4368,1459,964,?,?,?,?,?
